Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1698176969.990	  6115.161	0	0	0	0	python3 runNERSingleFile.py dSplit100 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
44	:	1698176970.628	  6159.236	0	0	0	0	python3 runNERSingleFile.py dSplit137 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
107	:	1698176972.926	  6162.139	0	0	0	0	python3 runNERSingleFile.py dSplit50 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
8	:	1698176970.017	  6168.098	0	0	0	0	python3 runNERSingleFile.py dSplit104 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
144	:	1698176974.871	  6167.180	0	0	0	0	python3 runNERSingleFile.py dSplit84 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
125	:	1698176973.766	  6170.871	0	0	0	0	python3 runNERSingleFile.py dSplit67 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
9	:	1698176970.023	  6189.398	0	0	0	0	python3 runNERSingleFile.py dSplit105 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
145	:	1698176974.887	  6200.087	0	0	0	0	python3 runNERSingleFile.py dSplit85 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
105	:	1698176972.883	  6204.867	0	0	0	0	python3 runNERSingleFile.py dSplit49 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
53	:	1698176970.981	  6213.580	0	0	0	0	python3 runNERSingleFile.py dSplit145 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
58	:	1698176971.091	  6227.753	0	0	0	0	python3 runNERSingleFile.py dSplit15 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
56	:	1698176971.058	  6236.657	0	0	0	0	python3 runNERSingleFile.py dSplit148 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
140	:	1698176974.756	  6244.779	0	0	0	0	python3 runNERSingleFile.py dSplit80 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
147	:	1698176975.055	  6247.263	0	0	0	0	python3 runNERSingleFile.py dSplit87 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
133	:	1698176974.237	  6251.844	0	0	0	0	python3 runNERSingleFile.py dSplit74 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
112	:	1698176972.998	  6263.710	0	0	0	0	python3 runNERSingleFile.py dSplit55 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
63	:	1698176971.215	  6281.059	0	0	0	0	python3 runNERSingleFile.py dSplit154 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
28	:	1698176970.370	  6289.723	0	0	0	0	python3 runNERSingleFile.py dSplit122 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
3	:	1698176969.984	  6299.523	0	0	0	0	python3 runNERSingleFile.py dSplit10 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
23	:	1698176970.254	  6301.312	0	0	0	0	python3 runNERSingleFile.py dSplit118 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
55	:	1698176971.029	  6304.644	0	0	0	0	python3 runNERSingleFile.py dSplit147 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
121	:	1698176973.543	  6313.263	0	0	0	0	python3 runNERSingleFile.py dSplit63 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
13	:	1698176970.056	  6326.868	0	0	0	0	python3 runNERSingleFile.py dSplit109 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
159	:	1698176975.635	  6323.608	0	0	0	0	python3 runNERSingleFile.py dSplit98 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
78	:	1698176971.736	  6337.848	0	0	0	0	python3 runNERSingleFile.py dSplit24 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
25	:	1698176970.335	  6339.708	0	0	0	0	python3 runNERSingleFile.py dSplit12 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
45	:	1698176970.639	  6340.434	0	0	0	0	python3 runNERSingleFile.py dSplit138 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
146	:	1698176974.911	  6339.184	0	0	0	0	python3 runNERSingleFile.py dSplit86 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
47	:	1698176970.792	  6346.042	0	0	0	0	python3 runNERSingleFile.py dSplit14 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
92	:	1698176972.384	  6349.804	0	0	0	0	python3 runNERSingleFile.py dSplit37 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
129	:	1698176973.976	  6348.370	0	0	0	0	python3 runNERSingleFile.py dSplit70 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
68	:	1698176971.578	  6353.080	0	0	0	0	python3 runNERSingleFile.py dSplit159 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
124	:	1698176973.709	  6353.247	0	0	0	0	python3 runNERSingleFile.py dSplit66 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
18	:	1698176970.130	  6364.694	0	0	0	0	python3 runNERSingleFile.py dSplit113 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
71	:	1698176971.615	  6371.417	0	0	0	0	python3 runNERSingleFile.py dSplit18 /shared/3/projects/benlitterer/podcastData/NER/finishedSplits/
