Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
29	:	1695759524.053	    80.518	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31161/if-money-were-easy-behind-the-scenes-of-co-leadership.mp3
30	:	1695759604.577	    87.870	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
31	:	1695759692.453	    91.625	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31061/if-money-were-easy-whats-your-financial-archetype-with-brent-kessel.mp3
32	:	1695759784.084	   107.262	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31000/if-money-were-easy-how-financial-advisors-manage-their-own-money.mp3
33	:	1695759891.353	    99.353	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30786/if-money-were-easy-money-and-mindfulness-with-spencer-sherman.mp3
34	:	1695759990.713	    91.092	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30781/if-money-were-easy-divorce-and-your-money-how-to-maintain-your-financial-health-with-lara-lamb.mp3
35	:	1695760081.812	    74.580	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
36	:	1695760156.399	    92.141	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31534/if-money-were-easy-finding-your-moneyzen-with-manisha-thakor.mp3
37	:	1695760248.546	    77.417	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://abacuswealth.com/podcast-download/31479/if-money-were-easy-so-you-want-to-be-a-real-estate-mogul.mp3
38	:	1695760325.970	    31.546	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263240/romanos_91.mp3
39	:	1695760357.521	    30.296	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597898/romanos_96.mp3
40	:	1695760387.822	    28.282	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597897/romanos_99.mp3
41	:	1695760416.110	    30.721	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597896/romanos_101.mp3
42	:	1695760446.836	    29.134	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597895/romanos_100.mp3
43	:	1695760475.977	    28.982	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597894/romanos_98.mp3
44	:	1695760504.966	    30.546	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597892/romanos_97.mp3
45	:	1695760535.519	    28.362	0	380	0	0	bash ~/projects/testing/podcasts/mixedTranscription/diarizeOne.sh 0 https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474539/romanos_95.mp3
