Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
24	:	1695822427.365	  4514.878	0	338958	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://pdst.fm/e/audio4.redcircle.com/episodes/0834ecb0-f662-4113-849f-baca082f7a4f/stream.mp3
52	:	1695826524.850	   452.284	0	30405	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496900/romanos_74.mp3
54	:	1695826590.682	   393.317	0	33659	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960817/romanos_77.mp3
56	:	1695826662.584	   331.211	0	54642	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994189/romanos_82.mp3
55	:	1695826624.982	   371.614	0	38919	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994188/romanos_81.mp3
47	:	1695826301.594	   702.947	0	17430	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250442/romanos_73.mp3
57	:	1695826691.765	   361.065	0	22931	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039998/romanos_85.mp3
58	:	1695826883.522	   232.476	0	37125	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039999/romanos_84.mp3
50	:	1695826419.581	   710.938	0	34338	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496899/romanos_76.mp3
63	:	1695826996.629	   229.601	0	16473	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118382/romanos_87.mp3
59	:	1695826942.346	   294.858	0	32378	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263242/romanos_93.mp3
62	:	1695826993.817	   245.585	0	36810	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118381/romanos_88.mp3
64	:	1695827004.577	   258.597	0	25922	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56231733/romanos_89.mp3
61	:	1695826984.007	   333.061	0	43768	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118380/romanos_86.mp3
60	:	1695826977.164	   372.263	0	55482	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56040000/romanos_83.mp3
68	:	1695827226.253	   207.122	0	31693	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55763354/romanos_80.mp3
67	:	1695827130.550	   336.077	0	35017	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474538/romanos_94.mp3
65	:	1695827052.862	   418.365	0	62550	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56231783/romanos_90.mp3
25	:	1695822427.385	  5048.312	0	451127	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://api.spreaker.com/download/episode/52586610/21_hats_episode_141_stereo.mp3
12	:	1695822427.310	  5081.692	0	535269	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/509a53bf-1a3a-410a-8f29-0a348e3ca0df/stream.mp3
66	:	1695827116.024	   458.696	0	69323	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960815/romanos_78.mp3
69	:	1695827237.230	   445.111	0	31981	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://api.spreaker.com/download/episode/52706450/02_12.mp3
26	:	1695822427.392	  5327.226	0	413551	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://2guys.red40net.com/podlove/file/477/s/feed/c/mp3/the-gate.mp3
49	:	1695826403.634	  1371.994	0	27979	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496898/romanos_75.mp3
35	:	1695825318.105	  2461.507	0	253241	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
37	:	1695825533.013	  2459.935	0	288361	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/31479/if-money-were-easy-so-you-want-to-be-a-real-estate-mogul.mp3
