Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
45	:	1695750518.540	   213.309	0	4082	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56474539/romanos_95.mp3
44	:	1695750499.220	   310.378	0	5109	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597892/romanos_97.mp3
13	:	1695744449.017	  6391.730	0	148111	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/a1ce3068-101f-4eb8-b909-fdaff6ee12a1/stream.mp3
46	:	1695750587.441	   314.637	0	5451	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250441/romanos_72.mp3
48	:	1695750692.549	   227.457	0	7627	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250443/romanos_71.mp3
2	:	1695744448.979	  6486.668	0	126515	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://audio1.redcircle.com/episodes/27e662c8-bea5-4b93-bb57-3fa15853b336/stream.mp3
26	:	1695746784.710	  4280.250	0	62978	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://2guys.red40net.com/podlove/file/477/s/feed/c/mp3/the-gate.mp3
51	:	1695750840.789	   240.164	0	6616	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263241/romanos_92.mp3
35	:	1695749556.447	  1582.687	0	55733	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/30734/if-money-were-easy-the-gender-wealth-gap-and-what-to-do-about-it.mp3
53	:	1695750920.029	   279.665	0	5609	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960816/romanos_79.mp3
47	:	1695750653.981	   574.610	0	3289	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54250442/romanos_73.mp3
52	:	1695750902.092	   361.332	0	4700	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496900/romanos_74.mp3
54	:	1695750935.690	   328.507	0	5338	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960817/romanos_77.mp3
56	:	1695751080.974	   214.661	0	5954	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994189/romanos_82.mp3
58	:	1695751199.725	   179.837	0	4075	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039999/romanos_84.mp3
57	:	1695751139.153	   248.656	0	4130	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56039998/romanos_85.mp3
50	:	1695750809.617	   592.192	0	6084	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54496899/romanos_76.mp3
55	:	1695751064.973	   366.868	0	5905	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/55994188/romanos_81.mp3
32	:	1695747906.600	  3574.330	0	94451	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/31000/if-money-were-easy-how-financial-advisors-manage-their-own-money.mp3
62	:	1695751295.645	   189.256	0	4205	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118381/romanos_88.mp3
61	:	1695751264.207	   243.233	0	4837	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118380/romanos_86.mp3
60	:	1695751263.442	   244.058	0	6592	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56040000/romanos_83.mp3
59	:	1695751228.605	   297.990	0	4462	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56263242/romanos_93.mp3
63	:	1695751379.577	   173.218	0	2499	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56118382/romanos_87.mp3
33	:	1695748447.713	  3166.759	0	74507	0	0	bash ~/projects/testing/podcasts/mixedTranscription/transcribeOne.sh https://abacuswealth.com/podcast-download/30786/if-money-were-easy-money-and-mindfulness-with-spencer-sherman.mp3
