Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
31	:	1695264156.853	   101.217	0	3087	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31061/if-money-were-easy-whats-your-financial-archetype-with-brent-kessel.mp3
30	:	1695264156.846	   101.809	0	3034	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31097/if-money-were-easy-what-shareholder-engagement-looks-like-in-action-with-kate-barron-alicante.mp3
21	:	1695264156.715	   101.949	0	3870	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/fb45b1f8-39d0-4e39-b44d-b3332a405b4b/stream.mp3
33	:	1695264156.866	   102.245	0	3313	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/30786/if-money-were-easy-money-and-mindfulness-with-spencer-sherman.mp3
28	:	1695264156.834	   102.923	0	3307	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31290/if-money-were-easy-uniting-mothers-as-advocates-with-raena-boston.mp3
32	:	1695264156.859	   103.128	0	2804	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31000/if-money-were-easy-how-financial-advisors-manage-their-own-money.mp3
27	:	1695264156.827	   103.601	0	3534	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio4.redcircle.com/episodes/fe5bad69-f1a7-4603-ba74-861c4e4f8b98/stream.mp3
29	:	1695264156.839	   104.325	0	3654	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://abacuswealth.com/podcast-download/31161/if-money-were-easy-behind-the-scenes-of-co-leadership.mp3
10	:	1695264156.586	   106.509	0	3246	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/5f94c7d0-92a8-47b8-9d01-89027e04246d/stream.mp3
17	:	1695264156.640	   111.123	0	4648	1	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://audio1.redcircle.com/episodes/d9788369-2518-4aa1-9f35-1b7ce7009847/stream.mp3
41	:	1695264187.724	    87.447	0	2867	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597896/romanos_101.mp3
42	:	1695264215.048	    65.182	0	3139	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597895/romanos_100.mp3
53	:	1695264231.805	    69.075	0	3149	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/54960816/romanos_79.mp3
43	:	1695264224.099	    77.503	0	3255	0	0	bash ~/projects/testing/podcasts/transcription/transcribeOne.sh https://dts.podtrac.com/redirect.mp3/api.spreaker.com/download/episode/56597894/romanos_98.mp3
